"Metric","Value","Percentage"
"Accuracy",0.614563883702321,61.4563883702321
"Precision",0.60672268907563,60.672268907563
"Recall (Sensitivity)",0.512056737588652,51.2056737588652
"Specificity",0.70551220739995,70.551220739995
"F1-Score",0.555384615384615,55.5384615384615
