"Metric","Value","Percentage"
"Accuracy",0.626967191251,62.6967191251
"Precision",0.630653266331658,63.0653266331658
"Recall (Sensitivity)",0.498439716312057,49.8439716312057
"Specificity",0.741001761892776,74.1001761892776
"F1-Score",0.556805577562985,55.6805577562985
