"Metric","Value","Percentage"
"Accuracy",0.607228594291811,60.7228594291811
"Precision",0.6,60
"Recall (Sensitivity)",0.493617021276596,49.3617021276596
"Specificity",0.708029197080292,70.8029197080292
"F1-Score",0.541634241245136,54.1634241245136
