"Metric","Value","Percentage"
"Accuracy",0.618431581755135,61.8431581755135
"Precision",0.64090316977855,64.090316977855
"Recall (Sensitivity)",0.420512820512821,42.0512820512821
"Specificity",0.792627883650953,79.2627883650953
"F1-Score",0.507827283674523,50.7827283674523
